,name,tradingsymbol_nan,instrument_token_nan,LTP_nan,tradingsymbol_MAY,instrument_token_MAY,LTP_MAY,TOP BID_MAY,TOP ASK_MAY,tradingsymbol_JUN,instrument_token_JUN,LTP_JUN,TOP BID_JUN,TOP ASK_JUN,tradingsymbol_JUL,instrument_token_JUL,LTP_JUL,TOP BID_JUL,TOP ASK_JUL,TOP BID_nan,TOP ASK_nan
114,NAUKRI,NAUKRI,3520257,7034.0,NAUKRI25MAYFUT,14711298,7023.0,0.0,0.0,NAUKRI25JUNFUT,14608386,7082.5,0.0,0.0,NAUKRI25JULFUT,13668354,0.0,0.0,0.0,0.0,0.0
115,NESTLEIND,NESTLEIND,4598529,2410.0,NESTLEIND25MAYFUT,14712066,2416.7,0.0,0.0,NESTLEIND25JUNFUT,14609154,2430.0,0.0,0.0,NESTLEIND25JULFUT,13669122,2437.8,0.0,0.0,0.0,0.0
116,NHPC,NHPC,4454401,85.8,NHPC25MAYFUT,14712834,86.17,0.0,0.0,NHPC25JUNFUT,14609410,86.6,0.0,0.0,NHPC25JULFUT,13669378,87.05,0.0,0.0,0.0,0.0
117,NMDC,NMDC,3924993,65.0,NMDC25MAYFUT,14713090,65.05,0.0,0.0,NMDC25JUNFUT,14609666,65.38,0.0,0.0,NMDC25JULFUT,13669634,65.95,0.0,0.0,0.0,0.0
118,NTPC,NTPC,2977281,355.5,NTPC25MAYFUT,14713346,356.1,0.0,0.0,NTPC25JUNFUT,14609922,358.4,0.0,0.0,NTPC25JULFUT,13669890,360.9,0.0,0.0,0.0,0.0
119,NYKAA,NYKAA,1675521,191.18,NYKAA25MAYFUT,14713602,189.86,0.0,0.0,NYKAA25JUNFUT,14610178,186.5,0.0,0.0,NYKAA25JULFUT,13670146,187.86,0.0,0.0,0.0,0.0
120,OBEROIRLTY,OBEROIRLTY,5181953,1601.0,OBEROIRLTY25MAYFUT,14713858,1591.6,0.0,0.0,OBEROIRLTY25JUNFUT,14610434,1574.4,0.0,0.0,OBEROIRLTY25JULFUT,13670914,1559.0,0.0,0.0,0.0,0.0
121,OFSS,OFSS,2748929,8582.0,OFSS25MAYFUT,14714114,8658.0,0.0,0.0,OFSS25JUNFUT,14610690,8679.0,0.0,0.0,OFSS25JULFUT,13671170,0.0,0.0,0.0,0.0,0.0
122,OIL,OIL,4464129,397.6,OIL25MAYFUT,14714370,397.85,0.0,0.0,OIL25JUNFUT,14610946,399.4,0.0,0.0,OIL25JULFUT,13671426,397.7,0.0,0.0,0.0,0.0
123,ONGC,ONGC,633601,246.0,ONGC25MAYFUT,14714626,247.26,0.0,0.0,ONGC25JUNFUT,14611202,249.01,0.0,0.0,ONGC25JULFUT,13671682,250.81,0.0,0.0,0.0,0.0
124,PAGEIND,PAGEIND,3689729,44500.0,PAGEIND25MAYFUT,14714882,44595.0,0.0,0.0,PAGEIND25JUNFUT,14611714,43945.0,0.0,0.0,PAGEIND25JULFUT,13671938,44000.0,0.0,0.0,0.0,0.0
125,PATANJALI,PATANJALI,4359425,1965.0,PATANJALI25MAYFUT,14716162,1967.0,0.0,0.0,PATANJALI25JUNFUT,14612226,1978.9,0.0,0.0,PATANJALI25JULFUT,13672194,1978.1,0.0,0.0,0.0,0.0
