symbol,listing_date,entry_num,status,entry_date,entry_price,stop_price,exit_date,exit_price,return_pct,days_to_entry,days_held,last_date,last_price
KIMS,2021-06-28,1.0,survived_positive,2021-06-28,199.39,,2022-06-28,231.05,15.88,0.0,365.0,,
DODLA,2021-06-28,1.0,stop_hit,2021-06-28,609.9,548.91,2021-08-23,548.91,-10.0,0.0,56.0,,
IPL,2021-07-05,1.0,stop_hit,2021-07-22,353.85,318.47,2021-08-10,318.47,-10.0,17.0,19.0,,
CLEAN,2021-07-19,1.0,stop_hit,2021-07-19,1585.25,1426.73,2021-08-26,1426.73,-10.0,0.0,38.0,,
GRINFRA,2021-07-19,1.0,stop_hit,2021-07-19,1747.1,1572.39,2021-08-09,1572.39,-10.0,0.0,21.0,,
ZOMATO,2021-07-23,1.0,stop_hit,2021-07-23,126.0,113.4,2022-01-21,113.4,-10.0,0.0,182.0,,
TATVA,2021-07-29,1.0,stop_hit,2021-07-29,2312.2,2080.98,2021-08-09,2080.98,-10.0,0.0,11.0,,
GLS,2021-08-06,1.0,stop_hit,2021-11-11,651.05,585.94,2022-01-24,585.94,-10.0,97.0,74.0,,
ROLEXRINGS,2021-08-09,1.0,stop_hit,2021-08-09,116.7,105.03,2021-09-20,105.03,-10.0,0.0,42.0,,
KRSNAA,2021-08-16,1.0,stop_hit,2021-08-16,987.0,888.3,2021-08-23,888.3,-10.0,0.0,7.0,,
DEVYANI,2021-08-16,1.0,stop_hit,2021-08-16,123.5,111.15,2021-08-23,111.15,-10.0,0.0,7.0,,
WINDLAS,2021-08-16,1.0,stop_hit,2021-08-16,407.15,366.43,2021-08-20,366.43,-10.0,0.0,4.0,,
EXXARO,2021-08-16,1.0,stop_hit,2021-08-30,13.76,12.38,2022-02-14,12.38,-10.0,14.0,168.0,,
CARTRADE,2021-08-20,1.0,stop_hit,2021-10-05,1336.75,1203.08,2021-10-29,1203.08,-10.0,46.0,24.0,,
NUVOCO,2021-08-23,1.0,stop_hit,2021-08-23,531.7,478.53,2022-01-24,478.53,-10.0,0.0,154.0,,
CHEMPLASTS,2021-08-24,1.0,stop_hit,2021-08-30,569.0,512.1,2021-12-20,512.1,-10.0,6.0,112.0,,
APTUS,2021-08-24,1.0,stop_hit,2021-08-31,369.45,332.51,2021-09-21,332.51,-10.0,7.0,21.0,,
AMIORG,2021-09-14,1.0,stop_hit,2021-09-14,935.0,841.5,2022-02-22,841.5,-10.0,0.0,161.0,,
VIJAYA,2021-09-14,1.0,stop_hit,2021-09-14,620.1,558.09,2021-09-21,558.09,-10.0,0.0,7.0,,
SANSERA,2021-09-24,1.0,stop_hit,2021-11-11,801.95,721.76,2022-02-08,721.76,-10.0,48.0,89.0,,
PARAS,2021-10-01,1.0,survived_positive,2021-10-04,517.05,,2022-10-03,648.6,25.44,3.0,364.0,,
ABSLAMC,2021-10-11,1.0,stop_hit,2022-01-06,553.15,497.84,2022-02-24,497.84,-10.0,87.0,49.0,,
NYKAA,2021-11-10,1.0,stop_hit,2021-11-10,367.63,330.87,2021-12-14,330.87,-10.0,0.0,34.0,,
FINOPB,2021-11-12,1.0,stop_hit,2021-11-12,543.9,489.51,2021-11-18,489.51,-10.0,0.0,6.0,,
SJS,2021-11-15,1.0,stop_hit,2021-11-18,469.65,422.68,2021-11-22,422.68,-10.0,3.0,4.0,,
POLICYBZR,2021-11-15,1.0,stop_hit,2021-11-16,1341.9,1207.71,2021-11-22,1207.71,-10.0,1.0,6.0,,
SIGACHI,2021-11-15,1.0,stop_hit,2021-11-16,62.84,56.56,2021-11-22,56.56,-10.0,1.0,6.0,,
SAPPHIRE,2021-11-18,1.0,stop_hit,2021-11-18,242.31,218.08,2021-11-22,218.08,-10.0,0.0,4.0,,
PAYTM,2021-11-18,1.0,stop_hit,2021-11-18,1560.8,1404.72,2021-11-22,1404.72,-10.0,0.0,4.0,,
LATENTVIEW,2021-11-23,1.0,stop_hit,2021-11-23,488.75,439.88,2022-02-22,439.88,-10.0,0.0,91.0,,
TARSONS,2021-11-26,1.0,stop_hit,2021-11-26,818.4,736.56,2021-11-29,736.56,-10.0,0.0,3.0,,
GOCOLORS,2021-11-30,1.0,stop_hit,2021-11-30,1253.7,1128.33,2021-12-17,1128.33,-10.0,0.0,17.0,,
STARHEALTH,2021-12-10,1.0,stop_hit,2021-12-10,906.85,816.16,2021-12-15,816.16,-10.0,0.0,5.0,,
TEGA,2021-12-13,1.0,stop_hit,2021-12-14,659.45,593.51,2021-12-16,593.51,-10.0,1.0,2.0,,
ANANDRATHI,2021-12-14,1.0,survived_positive,2021-12-29,145.79,,2022-12-14,172.4,18.25,15.0,350.0,,
RATEGAIN,2021-12-17,1.0,stop_hit,2021-12-17,340.05,306.04,2021-12-27,306.04,-10.0,0.0,10.0,,
SHRIRAMPPS,2021-12-20,1.0,stop_hit,2021-12-20,99.6,89.64,2021-12-22,89.64,-10.0,0.0,2.0,,
MAPMYINDIA,2021-12-21,1.0,stop_hit,2021-12-21,1393.65,1254.29,2022-05-10,1254.29,-10.0,0.0,140.0,,
METROBRAND,2021-12-22,1.0,stop_hit,2021-12-22,493.35,444.02,2022-01-04,444.02,-10.0,0.0,13.0,,
MEDPLUS,2021-12-23,1.0,stop_hit,2021-12-29,1075.95,968.35,2022-02-22,968.35,-10.0,6.0,55.0,,
DATAPATTNS,2021-12-24,1.0,stop_hit,2021-12-24,755.0,679.5,2022-02-14,679.5,-10.0,0.0,52.0,,
HPAL,2021-12-27,1.0,survived_positive,2021-12-28,69.45,,2022-12-27,74.49,7.26,1.0,364.0,,
SUPRIYA,2021-12-28,1.0,stop_hit,2021-12-29,463.6,417.24,2022-02-15,417.24,-10.0,1.0,48.0,,
CMSINFO,2021-12-31,1.0,stop_hit,2021-12-31,238.2,214.38,2022-05-26,214.38,-10.0,0.0,146.0,,
AGSTRA,2022-01-31,1.0,stop_hit,2022-01-31,161.05,144.95,2022-02-10,144.95,-10.0,0.0,10.0,,
AWL,2022-02-08,1.0,survived_positive,2022-02-08,268.25,,2023-02-08,418.8,56.12,0.0,365.0,,
MANYAVAR,2022-02-16,1.0,survived_positive,2022-02-24,813.35,,2023-02-16,1226.15,50.75,8.0,357.0,,
UMAEXPORTS,2022-04-07,1.0,stop_hit,2022-04-08,83.75,75.38,2022-04-19,75.38,-10.0,1.0,11.0,,
PATANJALI,2022-04-08,1.0,survived_positive,2022-04-08,307.82,,2023-04-10,318.93,3.61,0.0,367.0,,
VERANDA,2022-04-11,1.0,survived_positive,2022-04-12,137.8,,2023-04-11,200.4,45.43,1.0,364.0,,
HARIOMPIPE,2022-04-13,1.0,stop_hit,2022-04-18,242.55,218.3,2022-04-21,218.3,-10.0,5.0,3.0,,
CAMPUS,2022-05-09,1.0,stop_hit,2022-05-09,378.9,341.01,2022-05-11,341.01,-10.0,0.0,2.0,,
RAINBOW,2022-05-10,1.0,survived_positive,2022-05-10,450.2,,2023-05-10,807.8,79.43,0.0,365.0,,
LICI,2022-05-17,1.0,stop_hit,2022-07-11,359.1,323.19,2022-09-23,323.19,-10.0,55.0,74.0,,
PRUDENT,2022-05-20,1.0,stop_hit,2022-05-20,561.75,505.57,2022-05-24,505.57,-10.0,0.0,4.0,,
VENUSPIPES,2022-05-24,1.0,survived_positive,2022-06-28,330.3,,2023-05-24,969.35,193.48,35.0,330.0,,
DELHIVERY,2022-05-24,1.0,stop_hit,2022-05-24,536.35,482.71,2022-06-17,482.71,-10.0,0.0,24.0,,
PARADEEP,2022-05-27,1.0,stop_hit,2022-05-30,42.1,37.89,2022-06-23,37.89,-10.0,3.0,24.0,,
ETHOSLTD,2022-05-30,1.0,survived_positive,2022-06-06,770.1,,2023-05-30,1216.35,57.95,7.0,358.0,,
EMUDHRA,2022-06-01,1.0,stop_hit,2022-07-11,257.3,231.57,2023-03-16,231.57,-10.0,40.0,248.0,,
AETHER,2022-06-03,1.0,survived_positive,2022-06-03,774.4,,2023-06-05,922.05,19.07,0.0,367.0,,
SYRMA,2022-08-26,1.0,stop_hit,2022-08-26,310.5,279.45,2022-09-26,279.45,-10.0,0.0,31.0,,
DREAMFOLKS,2022-09-06,1.0,stop_hit,2022-09-06,462.4,416.16,2022-09-12,416.16,-10.0,0.0,6.0,,
TMB,2022-09-15,1.0,stop_hit,2022-10-27,514.35,462.91,2023-02-07,462.91,-10.0,42.0,103.0,,
HARSHA,2022-09-26,1.0,stop_hit,2022-09-26,486.5,437.85,2022-10-03,437.85,-10.0,0.0,7.0,,
EMIL,2022-10-17,1.0,stop_hit,2022-10-18,92.95,83.65,2022-10-25,83.65,-10.0,1.0,7.0,,
